--------------------------------------------------------------------------------------------------------------------
File                                                                             blank        comment           code
--------------------------------------------------------------------------------------------------------------------
IMGUI\imgui.cpp                                    1036           1411           6516
IMGUI\imgui_widgets.cpp                             689            610           4431
IMGUI\imstb_truetype.h                              559            953           3342
IMGUI\imgui_demo.cpp                                346            342           2937
IMGUI\imgui_draw.cpp                                324            218           2614
IMGUI\imgui.h                                       185            344           1464
IMGUI\imgui_internal.h                              131            104           1061
graphics\DebugWindow.cpp                            161            335            927
IMGUI\imstb_textedit.h                              158            456            795
component\controller.cpp                             72            251            746
spaces\spacemanager.cpp                              64            175            745
gameobject\GameObjectSerialize.cpp                   53             42            617
component\Emitter.cpp                                58            670            585
puzzles\newpuzzle_r.cpp                              55             69            555
audio\audiomanager.cpp                               53            180            529
spaces\mapspace.cpp                                 108            297            524
puzzles\newpuzzle.cpp                                49             31            512
component\button.cpp                                 54            211            450
system\TrueType.cpp                                  46             42            428
IMGUI\imgui_impl_opengl3.cpp                         54             81            403
vfx\LightReciever.cpp                                53             54            363
IMGUI\imstb_rectpack.h                               73            212            338
spaces\optionspace.cpp                               29             21            307
system\Window.cpp                                    63             69            298
input\input.cpp                                      22            340            259
system\Engine.cpp                                    29             37            248
graphics\Sprite.cpp                                  29            171            230
IMGUI\imgui_impl_glfw.cpp                            33             40            225
spaces\poptionspace.cpp                              13             24            223
spaces\playerspace.cpp                               40             38            207
graphics\Camera.cpp                                  35            205            205
spaces\mainmenuspace.cpp                             21             36            197
spaces\spacemanager.h                                83            207            195
component\collider.cpp                               43             16            193
graphics\SpriteOrder.cpp                             31             23            184
gameobject\gameobject.h                              32             23            178
vfx\particle.cpp                                     48            109            178
utils\playback.cpp                                   26             13            173
graphics\TileParser.cpp                              29             12            166
vfx\LightManager.cpp                                 20             23            165
graphics\Tilemap.cpp                                 43            155            165
spaces\winspace.cpp                                  22             22            165
spaces\howtoplay.cpp                                 12             15            162
graphics\Fade.cpp                                    25             16            162
trace\trace.cpp                                      25             59            158
transform\Affine.cpp                                 25            222            149
component\onewaycollider.cpp                         17             36            149
animation\animation.cpp                              48            219            147
graphics\DebugDraw.cpp                               26            118            141
graphics\Render.cpp                                  25            161            139
puzzles\newpuzzle.h                                  23             11            137
system\countdowntimer.h                              27             12            137
graphics\Shader.cpp                                  28             92            133
spaces\pausespace.cpp                                 4             23            132
component\emitter.h                                  20             28            125
settings\settings.cpp                                13             17            124
system\sysinfo.cpp                                   24             12            120
spaces\spaces.cpp                                    17             14            115
spaces\uispace.cpp                                   52              7            111
spaces\enginespace.cpp                               16             52            110
graphics\TextureManager.cpp                          23             29            106
spaces\creditsspace.cpp                              15             19            106
graphics\Mesh.cpp                                    16              9            105
system\localize.cpp                                  14             14            100
component\button.h                                   10             11             97
vfx\color.cpp                                        15             92             94
graphics\MeshManager.cpp                             26             57             94
system\heatmap.cpp                                   15             14             92
physics\Vector2D.cpp                                 31             11             87
messaging\messagehandler.h                           20             35             87
component\teleporter.cpp                              8             11             85
component\component.h                                18             11             84
physics\Matrix2D.cpp                                 29             13             77
timer\timer.cpp                                      17             63             77
graphics\Sprite.h                                    13            158             76
audio\audiomanager.h                                 44            182             74
system\timermanager.cpp                              11             14             73
spaces\digispace.cpp                                 16             22             68
graphics\SpriteOrder.h                               17              9             68
vfx\TileDictionary.cpp                                7              9             68
main.cpp                                             11             12             65
spaces\radiantspace.cpp                              16             11             62
graphics\TextureManager.h                            17             42             62
component\paralax.cpp                                11             13             62
physics\Physics.cpp                                  18              9             61
graphics\FontRender.cpp                               9             10             60
vfx\Wave.cpp                                         11            111             60
utils\autoplay.cpp                                    9             11             58
component\collider.h                                 21             11             57
utils\playback.h                                     31             27             55
graphics\Render.h                                    12            146             55
graphics\LineMesh.cpp                                22             99             53
component\controller.h                               10             10             52
vfx\LightSource.h                                    11             18             52
utils\utils.cpp                                       7             11             49
component\mousecollider.cpp                          15             16             48
physics\Transform.h                                  41             56             48
spaces\splashspace.cpp                                7             10             48
graphics\Shader.h                                    18             19             47
physics\Transform.cpp                                19             11             45
graphics\SquareMesh.cpp                              21             81             45
component\pscript.cpp                                14             12             45
transform\Affine.h                                   18            192             42
graphics\DebugDraw.h                                  9             99             41
graphics\Camera.h                                    15            184             41
graphics\FontRender.h                                 7              9             41
vfx\LightSource.cpp                                   7             13             41
graphics\TileParser.h                                 9             11             39
